code,name
4203.T,住友ベークライト株式会社
9532.T,大阪瓦斯株式会社
543A.T,ＡＲＣＨＩＯＮ株式会社
7202.T,いすゞ自動車株式会社
5332.T,ＴＯＴＯ株式会社
6324.T,株式会社ハーモニック・ドライブ・システムズ
4186.T,東京応化工業株式会社
6113.T,株式会社アマダ
9201.T,日本航空株式会社
4523.T,エーザイ株式会社
9021.T,西日本旅客鉄道株式会社
6834.T,株式会社　精工技研
7259.T,株式会社アイシン
9602.T,東宝株式会社
1911.T,住友林業株式会社
4440.T,株式会社ヴィッツ
6134.T,株式会社ＦＵＪＩ
6448.T,ブラザー工業株式会社
8593.T,三菱ＨＣキャピタル株式会社
3905.T,データセクション株式会社
6841.T,横河電機株式会社
3402.T,東レ株式会社
8354.T,株式会社ふくおかフィナンシャルグループ
7747.T,朝日インテック株式会社
6965.T,浜松ホトニクス株式会社
6869.T,シスメックス株式会社
3086.T,Ｊ．フロント　リテイリング株式会社
6590.T,芝浦メカトロニクス株式会社
6323.T,ローツェ株式会社
9508.T,九州電力株式会社
4183.T,三井化学株式会社
5714.T,ＤＯＷＡホールディングス株式会社
4082.T,第一稀元素化学工業株式会社
6302.T,住友重機械工業株式会社
1878.T,大東建託株式会社
9962.T,株式会社　ミスミグループ本社
8113.T,ユニ・チャーム株式会社
6141.T,ＤＭＧ森精機株式会社
8304.T,株式会社あおぞら銀行
6370.T,栗田工業株式会社
2269.T,明治ホールディングス株式会社
7167.T,株式会社めぶきフィナンシャルグループ
6724.T,セイコーエプソン株式会社
4151.T,協和キリン株式会社
2587.T,サントリービバレッジ＆フード株式会社
4052.T,フィーチャ株式会社
7762.T,シチズン時計株式会社
8233.T,株式会社髙島屋
6268.T,ナブテスコ株式会社
186A.T,株式会社アストロスケールホールディングス
3697.T,株式会社ＳＨＩＦＴ
7912.T,大日本印刷株式会社
1944.T,株式会社きんでん
4021.T,日産化学株式会社
4768.T,株式会社　大塚商会
5110.T,住友ゴム工業株式会社
9684.T,株式会社スクウェア・エニックス・ホールディングス
4392.T,ＦＩＧ株式会社
4980.T,デクセリアルズ株式会社
3088.T,株式会社マツキヨココカラ＆カンパニー
5076.T,インフロニア・ホールディングス株式会社
5844.T,株式会社京都フィナンシャルグループ
2875.T,東洋水産株式会社
6952.T,カシオ計算機株式会社
9412.T,スカパーＪＳＡＴ株式会社
268A.T,リガク・ホールディングス株式会社
1942.T,株式会社関電工
7181.T,株式会社かんぽ生命保険
6522.T,株式会社アスタリスク
7211.T,三菱自動車工業株式会社
4088.T,エア・ウォーター株式会社
2702.T,日本マクドナルドホールディングス株式会社
5301.T,東海カーボン株式会社
6674.T,株式会社　ジーエス・ユアサ　コーポレーション
3994.T,株式会社マネーフォワード
6586.T,株式会社マキタ
4812.T,株式会社電通総研
6728.T,株式会社　アルバック
7701.T,株式会社　島津製作所
4564.T,オンコセラピー・サイエンス株式会社
2897.T,日清食品ホールディングス株式会社
6460.T,セガサミーホールディングス株式会社
215A.T,株式会社タイミー
6770.T,アルプスアルパイン株式会社
3626.T,ＴＩＳＩ株式会社
5830.T,株式会社いよぎんホールディングス
9042.T,阪急阪神ホールディングス株式会社
1963.T,日揮ホールディングス株式会社
3391.T,株式会社ツルハホールディングス
4527.T,ロート製薬株式会社
4324.T,株式会社電通グループ
9005.T,東急株式会社
8918.T,株式会社ランド
4667.T,アイサンテクノロジー株式会社
4528.T,小野薬品工業株式会社
3231.T,野村不動産ホールディングス株式会社
4612.T,日本ペイントホールディングス株式会社
2282.T,日本ハム株式会社
3064.T,株式会社ＭｏｎｏｔａＲＯ
6855.T,日本電子材料株式会社
8334.T,株式会社　群馬銀行
4204.T,積水化学工業株式会社
5406.T,株式会社　神戸製鋼所
3003.T,ヒューリック株式会社
3289.T,東急不動産ホールディングス株式会社
8252.T,株式会社　丸井グループ
3132.T,マクニカホールディングス株式会社
5214.T,日本電気硝子株式会社
7752.T,株式会社リコー
5938.T,株式会社ＬＩＸＩＬ
4091.T,日本酸素ホールディングス株式会社
1893.T,五洋建設株式会社
3778.T,さくらインターネット株式会社
8848.T,株式会社レオパレス２１
8359.T,株式会社八十二長野銀行
7649.T,スギホールディングス株式会社
4631.T,ＤＩＣ株式会社
8253.T,株式会社クレディセゾン
8377.T,株式会社ほくほくフィナンシャルグループ
3197.T,株式会社すかいらーくホールディングス
2181.T,パーソルホールディングス株式会社
2267.T,株式会社ヤクルト本社
3349.T,株式会社コスモス薬品
2160.T,株式会社ジーエヌアイグループ
1515.T,日鉄鉱業株式会社
7731.T,株式会社ニコン
5021.T,コスモエネルギーホールディングス株式会社
3405.T,株式会社クラレ
3861.T,王子ホールディングス株式会社
2432.T,株式会社ディー・エヌ・エー
9831.T,株式会社ヤマダホールディングス
4680.T,株式会社ラウンドワン
9507.T,四国電力株式会社
6966.T,株式会社三井ハイテック
3092.T,株式会社ＺＯＺＯ
4478.T,フリー株式会社
7581.T,株式会社サイゼリヤ
6754.T,アンリツ株式会社
7951.T,ヤマハ株式会社
8341.T,株式会社七十七銀行
1721.T,コムシスホールディングス株式会社
5857.T,ＡＲＥホールディングス株式会社
6473.T,株式会社ジェイテクト
4208.T,ＵＢＥ株式会社
3653.T,株式会社モルフォ
7220.T,武蔵精密工業株式会社
2579.T,コカ・コーラ　ボトラーズジャパンホールディングス株式会社
8804.T,東京建物株式会社
7564.T,株式会社ワークマン
4443.T,Ｓａｎｓａｎ株式会社
3769.T,ＧＭＯペイメントゲートウェイ株式会社
9616.T,株式会社共立メンテナンス
9142.T,九州旅客鉄道株式会社
6407.T,ＣＫＤ株式会社
4902.T,コニカミノルタ株式会社
6779.T,日本電波工業株式会社
9509.T,北海道電力株式会社
1662.T,石油資源開発株式会社
4180.T,Ａｐｐｉｅｒ　Ｇｒｏｕｐ株式会社
6471.T,日本精工株式会社
2871.T,株式会社ニチレイ
2127.T,株式会社日本Ｍ＆Ａセンターホールディングス
4042.T,東ソー株式会社
9009.T,京成電鉄株式会社
2212.T,山崎製パン株式会社
7282.T,豊田合成株式会社
9504.T,中国電力株式会社
1808.T,株式会社　長谷工コーポレーション
338A.T,株式会社ＺｅｎｍｕＴｅｃｈ
4536.T,参天製薬株式会社
141A.T,株式会社トライアルホールディングス
9023.T,東京地下鉄株式会社
6997.T,日本ケミコン株式会社
6753.T,シャープ株式会社
4403.T,日油株式会社
6417.T,株式会社三共
429A.T,テクセンドフォトマスク株式会社
6085.T,アーキテクツ・スタジオ・ジャパン株式会社
2492.T,株式会社インフォマート
7867.T,株式会社タカラトミー
4114.T,株式会社日本触媒
3288.T,株式会社オープンハウスグループ
6996.T,ニチコン株式会社
8358.T,スルガ銀行株式会社
5985.T,サンコール株式会社
4368.T,扶桑化学工業株式会社
464A.T,株式会社ＱＰＳホールディングス
5032.T,ＡＮＹＣＯＬＯＲ株式会社
9041.T,近鉄グループホールディングス株式会社
9007.T,小田急電鉄株式会社
4194.T,ビジョナル株式会社
4676.T,株式会社フジ・メディア・ホールディングス
4732.T,株式会社ユー・エス・エス
3498.T,霞ヶ関キャピタル株式会社
9064.T,ヤマトホールディングス株式会社
9143.T,ＳＧホールディングス株式会社
4613.T,関西ペイント株式会社
5253.T,カバー株式会社
4912.T,ライオン株式会社
5991.T,日本発條株式会社
4540.T,株式会社ツムラ
1969.T,高砂熱学工業株式会社
8227.T,株式会社しまむら
4061.T,デンカ株式会社
6592.T,マブチモーター株式会社
9001.T,東武鉄道株式会社
1332.T,株式会社ニッスイ
6027.T,弁護士ドットコム株式会社
4205.T,日本ゼオン株式会社
5929.T,三和ホールディングス株式会社
4716.T,日本オラクル株式会社
6845.T,アズビル株式会社
6941.T,山一電機株式会社
9513.T,電源開発株式会社
5471.T,大同特殊鋼株式会社
7327.T,株式会社第四北越フィナンシャルグループ
8056.T,ＢＩＰＲＯＧＹ株式会社
9861.T,株式会社吉野家ホールディングス
7189.T,株式会社西日本フィナンシャルホールディングス
7276.T,株式会社小糸製作所
4971.T,メック株式会社
7956.T,ピジョン株式会社
5741.T,株式会社ＵＡＣＪ
2264.T,森永乳業株式会社
4666.T,パーク二四株式会社（定款上の商号　パーク２４株式会社）
2501.T,サッポロビール株式会社
9989.T,株式会社サンドラッグ
4043.T,株式会社トクヤマ
4597.T,ソレイジア・ファーマ株式会社
7389.T,株式会社あいちフィナンシャルグループ
8524.T,株式会社北洋銀行
7721.T,東京計器株式会社
5726.T,株式会社大阪チタニウムテクノロジーズ
7173.T,株式会社東京きらぼしフィナンシャルグループ
8368.T,株式会社　百五銀行
2002.T,株式会社日清製粉グループ本社
6814.T,古野電気株式会社
6376.T,日機装株式会社
3923.T,株式会社ラクス
3774.T,株式会社インターネットイニシアティブ
6232.T,株式会社ＡＣＳＬ
6103.T,オークマ株式会社
9401.T,株式会社ＴＢＳホールディングス
4369.T,株式会社　トリケミカル研究所
6951.T,日本電子株式会社
8439.T,東京センチュリー株式会社
7180.T,株式会社九州フィナンシャルグループ
8366.T,株式会社滋賀銀行
6703.T,沖電気工業株式会社
4099.T,四国化成ホールディングス株式会社
4373.T,シンプレクス・ホールディングス株式会社
290A.T,株式会社Ｓｙｎｓｐｅｃｔｉｖｅ
4722.T,フューチャー株式会社
5233.T,太平洋セメント株式会社
3105.T,日清紡ホールディングス株式会社
6465.T,ホシザキ株式会社
8418.T,株式会社山口フィナンシャルグループ
6923.T,スタンレー電気株式会社
2782.T,株式会社セリア
9008.T,京王電鉄株式会社
3692.T,株式会社ＦＦＲＩセキュリティ
3046.T,株式会社ジンズホールディングス
9065.T,山九株式会社
3048.T,株式会社ビックカメラ
5393.T,ニチアス株式会社
8060.T,キヤノンマーケティングジャパン株式会社
2222.T,寿スピリッツ株式会社
2593.T,株式会社伊藤園
4922.T,株式会社コーセーホールディングス
4047.T,関東電化工業株式会社
6101.T,株式会社ツガミ
7278.T,株式会社エクセディ
2809.T,キユーピー株式会社
446A.T,株式会社ノースサンド
2331.T,ＡＬＳＯＫ株式会社
6432.T,株式会社竹内製作所
3907.T,シリコンスタジオ株式会社
4733.T,株式会社オービックビジネスコンサルタント
2670.T,株式会社エービーシー・マート
3186.T,株式会社ネクステージ
4565.T,ネクセラファーマ株式会社
8237.T,株式会社松屋
3635.T,株式会社コーエーテクモホールディングス
6254.T,野村マイクロ・サイエンス株式会社
8282.T,株式会社ケーズホールディングス
7459.T,株式会社メディパルホールディングス
8088.T,岩谷産業株式会社
9404.T,日本テレビホールディングス株式会社
8508.T,Ｊトラスト株式会社
4516.T,日本新薬株式会社
5901.T,東洋製罐グループホールディングス株式会社
7806.T,株式会社ＭＴＧ
6925.T,ウシオ電機株式会社
4022.T,ラサ工業株式会社
9744.T,株式会社メイテックグループホールディングス
9468.T,株式会社ＫＡＤＯＫＡＷＡ
1959.T,株式会社クラフティア
7988.T,株式会社ニフコ
2121.T,株式会社ＭＩＸＩ
8361.T,株式会社　大垣共立銀行
