code,name
429A.T,テクセンドフォトマスク株式会社
5214.T,日本電気硝子株式会社
7581.T,株式会社サイゼリヤ
7211.T,三菱自動車工業株式会社
7951.T,ヤマハ株式会社
4042.T,東ソー株式会社
7701.T,株式会社　島津製作所
7731.T,株式会社ニコン
4368.T,扶桑化学工業株式会社
4208.T,ＵＢＥ株式会社
3994.T,株式会社マネーフォワード
4722.T,フューチャー株式会社
6770.T,アルプスアルパイン株式会社
3861.T,王子ホールディングス株式会社
6254.T,野村マイクロ・サイエンス株式会社
1893.T,五洋建設株式会社
4061.T,デンカ株式会社
6996.T,ニチコン株式会社
6460.T,セガサミーホールディングス株式会社
1969.T,高砂熱学工業株式会社
1963.T,日揮ホールディングス株式会社
9831.T,株式会社ヤマダホールディングス
8252.T,株式会社　丸井グループ
8253.T,株式会社クレディセゾン
2871.T,株式会社ニチレイ
3769.T,ＧＭＯペイメントゲートウェイ株式会社
5301.T,東海カーボン株式会社
7220.T,武蔵精密工業株式会社
6997.T,日本ケミコン株式会社
4043.T,株式会社トクヤマ
7966.T,リンテック株式会社
4082.T,第一稀元素化学工業株式会社
4151.T,協和キリン株式会社
7282.T,豊田合成株式会社
6951.T,日本電子株式会社
4022.T,ラサ工業株式会社
2432.T,株式会社ディー・エヌ・エー
7564.T,株式会社ワークマン
5741.T,株式会社ＵＡＣＪ
4902.T,コニカミノルタ株式会社
8056.T,ＢＩＰＲＯＧＹ株式会社
4114.T,株式会社日本触媒
4912.T,ライオン株式会社
6592.T,マブチモーター株式会社
3391.T,株式会社ツルハホールディングス
2501.T,サッポロビール株式会社
6779.T,日本電波工業株式会社
4613.T,関西ペイント株式会社
4091.T,日本酸素ホールディングス株式会社
6376.T,日機装株式会社
5991.T,日本発條株式会社
6101.T,株式会社ツガミ
6471.T,日本精工株式会社
6103.T,オークマ株式会社
8227.T,株式会社しまむら
2212.T,山崎製パン株式会社
1515.T,日鉄鉱業株式会社
7276.T,株式会社小糸製作所
6845.T,アズビル株式会社
5929.T,三和ホールディングス株式会社
4401.T,株式会社ＡＤＥＫＡ
1721.T,コムシスホールディングス株式会社
5471.T,大同特殊鋼株式会社
5021.T,コスモエネルギーホールディングス株式会社
1808.T,株式会社　長谷工コーポレーション
6480.T,日本トムソン株式会社
1662.T,石油資源開発株式会社
6327.T,北川精機株式会社
4403.T,日油株式会社
6814.T,古野電気株式会社
6753.T,シャープ株式会社
6473.T,株式会社ジェイテクト
6703.T,沖電気工業株式会社
4099.T,四国化成ホールディングス株式会社
4536.T,参天製薬株式会社
5726.T,株式会社大阪チタニウムテクノロジーズ
3349.T,株式会社コスモス薬品
4088.T,エア・ウォーター株式会社
4205.T,日本ゼオン株式会社
7956.T,ピジョン株式会社
1980.T,ダイダン株式会社
3923.T,株式会社ラクス
4047.T,関東電化工業株式会社
5233.T,太平洋セメント株式会社
7867.T,株式会社タカラトミー
3048.T,株式会社ビックカメラ
7721.T,東京計器株式会社
5393.T,ニチアス株式会社
9009.T,京成電鉄株式会社
2264.T,森永乳業株式会社
8368.T,株式会社　百五銀行
2002.T,株式会社日清製粉グループ本社
5232.T,住友大阪セメント株式会社
4922.T,株式会社コーセーホールディングス
6417.T,株式会社三共
7173.T,株式会社東京きらぼしフィナンシャルグループ
1332.T,株式会社ニッスイ
6925.T,ウシオ電機株式会社
6923.T,スタンレー電気株式会社
3105.T,日清紡ホールディングス株式会社
6465.T,ホシザキ株式会社
6999.T,ＫＯＡ株式会社
1959.T,株式会社クラフティア
8088.T,岩谷産業株式会社
1961.T,三機工業株式会社
4118.T,株式会社カネカ
6862.T,ミナトホールディングス株式会社
3116.T,トヨタ紡織株式会社
4202.T,株式会社ダイセル
6432.T,株式会社竹内製作所
7389.T,株式会社あいちフィナンシャルグループ
6490.T,株式会社ＰＩＬＬＡＲ
4540.T,株式会社ツムラ
4626.T,太陽ホールディングス株式会社
4516.T,日本新薬株式会社
7906.T,ヨネックス株式会社
3941.T,レンゴー株式会社
1861.T,株式会社　熊谷組
2782.T,株式会社セリア
1951.T,エクシオグループ株式会社
3387.T,株式会社クリエイト・レストランツ・ホールディングス
5715.T,古河機械金属株式会社
8060.T,キヤノンマーケティングジャパン株式会社
6266.T,タツモ株式会社
5384.T,株式会社フジミインコーポレーテッド
4369.T,株式会社　トリケミカル研究所
6005.T,三浦工業株式会社
9166.T,株式会社ＧＥＮＤＡ
6707.T,サンケン電気株式会社
4816.T,東映アニメーション株式会社
6366.T,千代田化工建設株式会社
3891.T,ニッポン高度紙工業株式会社
3401.T,帝人株式会社
7599.T,株式会社ＩＤＯＭ
4666.T,パーク二四株式会社（定款上の商号　パーク２４株式会社）
6966.T,株式会社三井ハイテック
1860.T,戸田建設株式会社
7717.T,株式会社ブイ・テクノロジー
